Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1672853036,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1672853037,200,,Aggregated,0.000000,0.000000,200,220,220,220,230,230,230,490,570,570,570,171,0,200.0,193.28962647368425,118.13816600000004,570.061708,8905.0
1672853038,400,,Aggregated,0.000000,0.000000,210,240,290,310,380,480,920,930,1200,1200,1200,706,0,210.0,243.36821164305957,28.500707999999932,1234.9322499999998,9332.512747875355
1672853039,500,,Aggregated,170.000000,0.000000,170,220,250,290,370,920,930,970,1200,1200,1200,1299,0,170.0,214.05636714241732,28.31741699999979,1234.9322499999998,17138.28714395689
1672853040,500,,Aggregated,292.000000,0.000000,210,280,350,380,560,900,970,1100,1200,1200,1200,1786,0,210.0,272.2690206220608,28.31741699999979,1249.0779160000004,31085.00503919373
1672853041,500,,Aggregated,385.000000,0.000000,260,390,540,660,930,1100,1300,1400,1900,2100,2100,2222,0,260.0,388.43542765436564,28.31741699999979,2082.577292,41733.06255625562
1672853042,500,,Aggregated,405.750000,0.000000,330,570,750,870,1100,1200,1400,1500,1900,2100,2100,2667,0,330.0,475.9346005804276,28.31741699999979,2082.577292,49561.55493063367
1672853043,500,,Aggregated,410.800000,0.000000,420,710,900,970,1200,1300,1500,1700,2000,2100,2100,3084,0,420.0,550.4215279944871,28.31741699999979,2088.7462499999997,55004.82976653697
1672853044,500,,Aggregated,415.500000,0.000000,530,840,970,1100,1200,1400,1600,1800,2100,2400,2400,3497,0,530.0,617.4238267915349,28.31741699999979,2359.540666,58359.42150414641
1672853045,500,,Aggregated,416.571429,0.000000,590,880,1000,1100,1300,1400,1700,1900,2400,2500,2500,4048,0,590.0,652.9730566422916,28.31741699999979,2542.6483750000007,60610.735177865616
1672853046,500,,Aggregated,414.750000,0.000000,610,880,1000,1100,1200,1400,1600,1800,2400,2500,2500,4555,0,610.0,662.8990797095488,28.31741699999979,2542.6483750000007,60522.93523600439
1672853047,500,,Aggregated,425.666667,0.000000,600,860,990,1100,1200,1400,1600,1800,2400,2500,2500,5097,0,600.0,660.6576905050015,28.31741699999979,2542.6483750000007,61054.0645477732
1672853048,500,,Aggregated,433.500000,0.000000,590,840,970,1000,1200,1400,1600,1800,2400,2500,2500,5703,0,590.0,648.9794028521823,28.31741699999979,2542.6483750000007,59349.629493249166
