0.5,1.075
1.5,3.225
2.5,5.375
3.5,7.525
4.5,9.675
5.5,11.825
6.5,13.975
7.5,16.125
8.5,18.275
9.5,20.425
10.5,22.575
11.5,24.725
12.5,26.875
13.5,29.025
14.5,31.175
15.5,33.325
16.5,35.475
17.5,37.625
18.5,39.775
19.5,41.925
20.5,44.075
21.5,46.225
22.5,48.375
23.5,50.525
24.5,52.675
25.5,54.825
26.5,56.975
27.5,59.125
28.5,61.275
29.5,63.425
30.5,65.575
31.5,67.725
32.5,69.875
33.5,72.025
34.5,74.175
35.5,76.325
36.5,78.475
37.5,80.625
38.5,82.775
39.5,84.925
40.5,87.075
41.5,89.225
42.5,91.375
43.5,93.525
44.5,95.675
45.5,97.825
46.5,99.975
47.5,102.125
48.5,104.275
49.5,106.425
50.5,108.575
51.5,110.725
52.5,112.875
53.5,115.025
54.5,117.175
55.5,119.325
56.5,121.475
57.5,123.625
58.5,125.775
59.5,127.925
60.5,130.075
61.5,132.225
62.5,134.375
63.5,136.525
64.5,138.675
65.5,140.825
66.5,142.975
67.5,145.125
68.5,147.275
69.5,149.425
70.5,151.575
71.5,153.725
72.5,155.875
73.5,158.025
74.5,160.175
75.5,162.325
76.5,164.475
77.5,166.625
78.5,168.775
79.5,170.925
80.5,173.075
81.5,175.225
82.5,177.375
83.5,179.525
84.5,181.675
85.5,183.825
86.5,185.975
87.5,188.125
88.5,190.275
89.5,192.425
90.5,194.575
91.5,196.725
92.5,198.875
93.5,201.025
94.5,203.175
95.5,205.325
96.5,207.475
97.5,209.625
98.5,211.775
99.5,213.925
100.5,216.075
101.5,218.225
102.5,220.375
103.5,222.525
104.5,224.675
105.5,226.825
106.5,228.975
107.5,231.125
108.5,233.275
109.5,235.425
110.5,237.575
111.5,239.725
112.5,241.875
113.5,244.025
114.5,246.175
115.5,248.325
116.5,250.475
117.5,252.625
118.5,254.775
119.5,256.925
